---Эпоха - 13---
Точность(0) - 0,002309991 - ТУТ
Точность(1) - 0,002235996 - ТУТ
Точность(2) - 0,001225482 - ТУТ
Точность(3) - 0,002631618 - ТУТ
Точность(4) - 0,001855781 - ТУТ
Точность(5) - 0,0009753317
Точность(6) - 0,0008784418
Точность(7) - 0,00146929 - ТУТ
Точность(8) - 0,0006401833
Точность(9) - 0,001060909 - ТУТ
Точность(10) - 0,001017013 - ТУТ
Точность(11) - 0,002195947 - ТУТ
Точность(12) - 0,0007708303
Точность(13) - 0,0007332545
Точность(14) - 0,003744316 - ТУТ
Точность(15) - 0,003857144 - ТУТ
Точность(16) - 0,0006307013
Точность(17) - 0,001015744 - ТУТ
Точность(18) - 0,003461647 - ТУТ
Точность(19) - 0,002229842 - ТУТ
Точность(20) - 0,001302946 - ТУТ
Точность(21) - 0,0008756635
Точность(22) - 0,0009664466
Точность(23) - 0,00152353 - ТУТ
Точность(24) - 0,001683439 - ТУТ
Точность(25) - 0,0006695857
Точность(26) - 0,001619919 - ТУТ
Точность(27) - 0,001948204 - ТУТ
Точность(28) - 0,001694381 - ТУТ
Точность(29) - 0,002416083 - ТУТ
Точность(30) - 0,0007290385
Точность(31) - 0,0009412422
Точность(32) - 0,001147533 - ТУТ
Точность(33) - 0,0007402506
Точность(34) - 0,001828233 - ТУТ
Точность(35) - 0,002061253 - ТУТ
Точность(36) - 0,0009659519
Точность(37) - 0,0007191081
Точность(38) - 0,0007773514
Точность(39) - 0,0005658931
Точность(40) - 0,0009925491
Точность(41) - 0,001967665 - ТУТ
Точность(42) - 0,0007006749
Точность(43) - 0,001648423 - ТУТ
Точность(44) - 0,0005258843
Точность(45) - 0,002582981 - ТУТ
Точность(46) - 0,001685938 - ТУТ
Точность(47) - 0,0009412307
Точность(48) - 0,0006347086
Точность(49) - 0,0005906753
Точность(50) - 0,0003683927
Точность(51) - 0,0008056446
Точность(52) - 0,001053034 - ТУТ
Точность(53) - 0,0007832741
Точность(54) - 0,0006064611
Точность(55) - 0,0007296856
Точность(56) - 0,0007540357
Точность(57) - 0,0006172702
Точность(58) - 0,0006112707
Точность(59) - 0,0008290086
Точность(60) - 0,001960914 - ТУТ
Точность(61) - 0,001227183 - ТУТ
Точность(62) - 0,001156026 - ТУТ
Точность(63) - 0,003444731 - ТУТ
Точность(64) - 0,0004958911
Точность(65) - 0,002035958 - ТУТ
Точность(66) - 0,001044234 - ТУТ
Точность(67) - 0,0009924704
Точность(68) - 0,0004167132
Точность(69) - 0,001508197 - ТУТ
Точность(70) - 0,0007642277
Точность(71) - 0,0003767872
Точность(72) - 0,000981678
Точность(73) - 0,002221315 - ТУТ
Точность(74) - 0,0006230046
Точность(75) - 0,0009964567
Точность(76) - 0,0006092526
Точность(77) - 0,0004587768
Точность(78) - 0,0009600327
Точность(79) - 0,002243442 - ТУТ
Точность(80) - 0,000602306
Точность(81) - 0,0007900996
Точность(82) - 0,002831565 - ТУТ
Точность(83) - 0,001781067 - ТУТ
Точность(84) - 0,001533234 - ТУТ
Точность(85) - 0,0007910217
Точность(86) - 0,002807051 - ТУТ
Точность(87) - 0,0008022267
Точность(88) - 0,0005574112
Точность(89) - 0,001802045 - ТУТ
Точность(90) - 0,009203382 - ТУТ
Точность(91) - 0,003744655 - ТУТ
Точность(92) - 0,01435816 - ТУТ
Точность(93) - 0,0004369261
Точность(94) - 0,001513653 - ТУТ
Точность(95) - 0,0008884655
Точность(96) - 0,001444604 - ТУТ
Точность(97) - 0,001318775 - ТУТ
Точность(98) - 0,0008089608
Точность(99) - 0,0004260464
Точность(100) - 0,0005476673
Точность(101) - 0,001023658 - ТУТ
Точность(102) - 0,002116834 - ТУТ
Точность(103) - 0,0004101107
Точность(104) - 0,00112261 - ТУТ
Точность(105) - 0,0008619728
Точность(106) - 0,001362993 - ТУТ
Точность(107) - 0,003429192 - ТУТ
Точность(108) - 0,0004661374
Точность(109) - 0,0008325026
Точность(110) - 0,00121254 - ТУТ
Точность(111) - 0,001008104 - ТУТ
Точность(112) - 0,0007572639
Точность(113) - 0,0007879934
Точность(114) - 0,0006043151
Точность(115) - 0,0008888422
Точность(116) - 0,0008767833
Точность(117) - 0,001050546 - ТУТ
Точность(118) - 0,0005113453
Точность(119) - 0,0009769392
Точность(120) - 0,0007078805
Точность(121) - 0,0008424734
Точность(122) - 0,0007590022
Точность(123) - 0,001230986 - ТУТ
Точность(124) - 0,0004208343
Точность(125) - 0,0004633602
Точность(126) - 0,0008433647
Точность(127) - 0,001356971 - ТУТ
Точность(128) - 0,0006326655
Точность(129) - 0,001805737 - ТУТ
Точность(130) - 0,001406492 - ТУТ
Точность(131) - 0,0008110362
Точность(132) - 0,004790903 - ТУТ
Точность(133) - 0,001328661 - ТУТ
Точность(134) - 0,0004577817
Точность(135) - 0,0004130994
Точность(136) - 0,0004618771
Точность(137) - 0,0006158141
Точность(138) - 0,0003224487
Точность(139) - 0,0009681515
Точность(140) - 0,0002733564
Точность(141) - 0,0003450632
Точность(142) - 0,001075653 - ТУТ
Точность(143) - 0,0006711597
Точность(144) - 0,0003101058
Точность(145) - 0,001343278 - ТУТ
Точность(146) - 0,0003285597
Точность(147) - 0,0004592785
Точность(148) - 0,00260388 - ТУТ
Точность(149) - 0,004614353 - ТУТ
Точность(150) - 0,0008601043
Точность(151) - 0,00058641
Точность(152) - 0,001533016 - ТУТ
Точность(153) - 0,0006311786
Точность(154) - 0,0006618341
Точность(155) - 0,001809183 - ТУТ
Точность(156) - 0,001641205 - ТУТ
Точность(157) - 0,002439456 - ТУТ
Точность(158) - 0,0005574228
Точность(159) - 0,004679173 - ТУТ
Точность(160) - 0,000830584
Точность(161) - 0,0005995765
Точность(162) - 0,001524266 - ТУТ
Точность(163) - 0,001797262 - ТУТ
Точность(164) - 0,0007436124
Точность(165) - 0,001662123 - ТУТ
Точность(166) - 0,002153634 - ТУТ
Точность(167) - 0,0006182601
Точность(168) - 0,001235228 - ТУТ
Точность(169) - 0,00131283 - ТУТ
Точность(170) - 0,002667034 - ТУТ
Точность(171) - 0,00150751 - ТУТ
Точность(172) - 0,00079691
Точность(173) - 0,0009745175
Точность(174) - 0,0006768716
Точность(175) - 0,001112906 - ТУТ
Точность(176) - 0,0008542663
Точность(177) - 0,001014029 - ТУТ
Точность(178) - 0,001479583 - ТУТ
Точность(179) - 0,0004882605
Точность(180) - 0,001431824 - ТУТ
Точность(181) - 0,001908514 - ТУТ
Точность(182) - 0,003993487 - ТУТ
Точность(183) - 0,001664787 - ТУТ
Точность(184) - 0,0009039159
Точность(185) - 0,001544193 - ТУТ
Точность(186) - 0,001591511 - ТУТ
Точность(187) - 0,002288362 - ТУТ
Точность(188) - 0,0009526217
Точность(189) - 0,0006239082
Точность(190) - 0,0006360101
Точность(191) - 0,0007913815
Точность(192) - 0,001132304 - ТУТ
Точность(193) - 0,001739603 - ТУТ
Точность(194) - 0,001680599 - ТУТ
Точность(195) - 0,0009921615
Точность(196) - 0,001550961 - ТУТ
Точность(197) - 0,001453245 - ТУТ
Точность(198) - 0,00110438 - ТУТ
Точность(199) - 0,001429694 - ТУТ
Точность(200) - 0,001108849 - ТУТ
Точность(201) - 0,003540257 - ТУТ
Точность(202) - 0,002473589 - ТУТ
Точность(203) - 0,0008160638
Точность(204) - 0,001036965 - ТУТ
Точность(205) - 0,00106516 - ТУТ
Точность(206) - 0,0008586071
Точность(207) - 0,001101277 - ТУТ
Точность(208) - 0,000711068
Точность(209) - 0,002320055 - ТУТ
Точность(210) - 0,0006706035
Точность(211) - 0,001095738 - ТУТ
Точность(212) - 0,0007185155
Точность(213) - 0,001904948 - ТУТ
Точность(214) - 0,001761348 - ТУТ
Точность(215) - 0,001084988 - ТУТ
Точность(216) - 0,000569322
Точность(217) - 0,0005479373
Точность(218) - 0,0005449604
Точность(219) - 0,0007677452
Точность(220) - 0,0004247628
Точность(221) - 0,001403125 - ТУТ
Точность(222) - 0,001002405 - ТУТ
Точность(223) - 0,0009404105
Точность(224) - 0,000777271
Точность(225) - 0,0009276693
Точность(226) - 0,0005016892
Точность(227) - 0,0031449 - ТУТ
Точность(228) - 0,00119382 - ТУТ
Точность(229) - 0,0009991655
Точность(230) - 0,0008207754
Точность(231) - 0,001580052 - ТУТ
