---Эпоха - 3---
Точность(0) - 0,08678022 - ТУТ
Точность(1) - 0,02760171 - ТУТ
Точность(2) - 0,022914 - ТУТ
Точность(3) - 0,02746668 - ТУТ
Точность(4) - 0,05018813 - ТУТ
Точность(5) - 0,02147338 - ТУТ
Точность(6) - 0,02656573 - ТУТ
Точность(7) - 0,03665153 - ТУТ
Точность(8) - 0,02334591 - ТУТ
Точность(9) - 0,02846709 - ТУТ
Точность(10) - 0,02576433 - ТУТ
Точность(11) - 0,02257237 - ТУТ
Точность(12) - 0,02612941 - ТУТ
Точность(13) - 0,029709 - ТУТ
Точность(14) - 0,03322323 - ТУТ
Точность(15) - 0,04082615 - ТУТ
Точность(16) - 0,03143927 - ТУТ
Точность(17) - 0,02298227 - ТУТ
Точность(18) - 0,01816401 - ТУТ
Точность(19) - 0,03475234 - ТУТ
Точность(20) - 0,0273539 - ТУТ
Точность(21) - 0,0437197 - ТУТ
Точность(22) - 0,05373016 - ТУТ
Точность(23) - 0,02170867 - ТУТ
Точность(24) - 0,02030162 - ТУТ
Точность(25) - 0,02026312 - ТУТ
Точность(26) - 0,02222645 - ТУТ
Точность(27) - 0,04213579 - ТУТ
Точность(28) - 0,02868515 - ТУТ
Точность(29) - 0,0240557 - ТУТ
Точность(30) - 0,03708431 - ТУТ
Точность(31) - 0,03432383 - ТУТ
Точность(32) - 0,04367496 - ТУТ
Точность(33) - 0,03392434 - ТУТ
Точность(34) - 0,02636339 - ТУТ
Точность(35) - 0,02513155 - ТУТ
Точность(36) - 0,0294735 - ТУТ
Точность(37) - 0,02274836 - ТУТ
Точность(38) - 0,06358601 - ТУТ
Точность(39) - 0,02541117 - ТУТ
Точность(40) - 0,02326247 - ТУТ
Точность(41) - 0,02358372 - ТУТ
Точность(42) - 0,02450239 - ТУТ
Точность(43) - 0,02906783 - ТУТ
Точность(44) - 0,02369328 - ТУТ
Точность(45) - 0,02114905 - ТУТ
Точность(46) - 0,01933012 - ТУТ
